brand,model,price,screen-size,screen-resolution-x,screen-resolution-y,is-fhd,is-ultra-hd,is-touchable,weight,cpu-brand,cpu-cores,cpu-frequency,cpu-class,memory,memory-type,memory-speed,gpu,has-discrete-graphic-card,gpu-class,storage-size,storage-type,storage-speed,configurable,battery-life,os,warranty,colors,detachable
Asus,Asus K501UX-DM079T,1698,15.6,1920,1080,Y,N,N,2,Intel,2,2.5,4,8,,,NVIDIA GeForce GTX 950M,Y,2,1024,HDD,,,5,Win10,1,Black,N
Asus,Asus K501UX-FI097T,1998,15.6,3840,2160,Y,Y,N,2,Intel,2,2.5,4,16,,,NVIDIA GeForce GTX 950M,Y,2,1024,HDD,,,5,Win10,1,Black,N
Asus,Asus X456UB-WX006T,999,14,1366,768,N,N,N,2,Intel,2,2.3,2,8,,,Intel HD Graphics 520,N,1,1024,HDD,,,4,Win10,1,Black,N
HP,HP Elite x2 1012 G1 LTE,2099,12,1920,1280,Y,N,Y,1.2,Intel,2,1.1,2,8,LPDDR3,1866,Intel HD Graphics 515,N,0,256,SSD,,,7,Windows 10 Pro 64,1,,Y
HP,HP EliteBook Folio 9480m Notebook PC,2999,14,1366,768,N,N,N,1.61,Intel,2,2.1,3,8,DDR3L,1600,Intel HD Graphics 4400,N,0,256,SSD,,,5,Windows 7 Pro 64,3,,N
HP,HP ENVY Notebook - 13-d117tu,1899,13.3,3200,1800,Y,Y,N,1.39,Intel,2,2.5,4,8,LPDDR3,1600,Intel HD Graphics 520,N,1,512,SSD,,,7,Windows 10 Home 64,1,Silver,N
HP,HP ENVY Notebook - 15-ae139TX,1599,15.6,1920,1080,Y,N,N,2.12,Intel,2,2.5,4,8,DDR3L,1600,NVIDIA GeForce GTX 950M,Y,2,256,SSD,,,5,Windows 10 Home 64,1,Silver,N
HP,HP ENVY Notebook 13-d022TU,1699,13.3,3200,1800,Y,Y,N,1.27,Intel,2,2.5,4,8,LDDR3,,Intel HD Graphics 520,N,1,256,SSD,,,7,Windows 10 Home 64,1,Natural silver,N
HP,HP Notebook 14-ac135TX,899,14,1366,768,N,N,N,1.94,Intel,2,2.3,2,4,DDR3L,,Intel HD Graphics 520,N,1,1024,HDD,5400,,4,Windows 10 Home 64,1,Jack black,N
HP,HP Notebook 15-ac113TX,899,15.6,1366,768,N,N,N,2.19,Intel,2,2.3,2,4,DDR3L,1600,Intel HD Graphics 520,N,1,1024,HDD,5400,,4,Windows 10 Home 64,1,Jack black,N
HP,HP OMEN Notebook PC 15-5024TX,2299,15.6,1920,1080,Y,N,Y,2.1,Intel,4,2.5,5,8,DDR3L,1600,NVIDIA GeForce GTX 860M,Y,2,128,SSD,,,3,Windows 8.1 64,0,,N
HP,HP Pavilion x2 Detachable 10-n101TU,549,10.1,1280,800,N,N,Y,1.13,Intel,4,1.44,0,2,DDR3L,1600,Intel HD Graphics,N,0,64,eMMC,,,8,Windows 10 Home 64,1,Blizzard white,Y
HP,HP Pavillon Gaming Notebook 15-ak0251TX,1499,15.6,1920,1080,Y,N,N,2.32,Intel,4,2.6,5,8,DDR3L,,NVIDIA GeForce GTX 950M,Y,2,1024,HDD,5400,,3,Windows 10 Home 64,1,Twinkle black,N
HP,HP Pavillon Notebook 14-ab170TX,849,14,1366,768,N,N,N,1.96,Intel,2,2.3,2,4,DDR3L,1600,Intel HD Graphics 520,N,1,500,HDD,5400,,4,Windows 10 Home 64,1,Natural silver,N
HP,HP Spectre x2 Detachable 12-a017TU,1999,12,1920,1280,Y,Y,Y,1.19,Intel,2,1.2,2,8,LDDR3,,Intel HD Graphics 515,N,0,256,SSD,,,7,Windows 10 Home 64,1,Natural silver,Y
HP,HP ZBook Studio G3 Mobile Workstation,3450,15.6,1920,1080,Y,N,Y,2,Intel,4,2.7,5,16,DDR4,2133,NVIDIA Quadro M1000M,Y,2,256,SSD,,,5,Windows 7 Pro 64,3,,N
Lenovo,Lenovo IdeaPad 100S-11 80R2002CSB ,284.05,11.6,1366,768,N,N,N,1,Intel,4,1.33,0,2,DDR3L,1600,Intel HD Graphics,N,0,32,EMMC,,Nil,8,Windows 10 Home 32,1,"Silver, Red",N
Lenovo,Lenovo Ideapad 300-14ISK 80Q6009SSB,899,14,1366,768,N,N,N,2.1,Intel,2,2.3,2,4,DDR3L,1600,AMD Radeon R5 M330 2GB,Y,0,1024,HDD,5400,Up to 6th Generation IntelÅ’ CoreÅ_ i Processor;Up to 1 TB HDD or SSHD (IntelÅ’ CoreÅ_ i supports up to 128 GB SSD),4,Windows 10 Home 64,1,"Black, Silver",N
Lenovo,Lenovo Ideapad 500-15 80K4001TSB,901.98,15.6,1920,1080,Y,N,N,2.3,AMD,2,1.8,2,4,DDR3L,1600,AMD Radeon R5 M330 2GB,Y,0,1024,HDD,5400,Up to AMD Carrizo FX-8800P APU;Up to 16 GB DDR3L,4,Windows 10 Home 64,1,"Black, White",N
Lenovo,Lenovo IdeaPad 500S-14ISK 80Q3005ESB,1049,14,1920,1080,Y,N,N,1.8,Intel,2,2.3,2,8,DDR3L,1600,NVIDIA GeForce GT 940M,Y,1,500,HDD,5400,Up to 6th Generation IntelÅ’ CoreÅ_ i7 Processor;Up to 1 TB HDD / Up to 1 TB SSHD / Up to 256 GB SSD,4.5,Windows 10 Home 64,1,"Black, Red",N
Lenovo,Lenovo Ideapad 700-15ISK 80RU008CSB,1408,15.6,1920,1080,Y,N,N,2.3,Intel,4,2.6,5,8,DDR4,2133,NVIDIA GeForce GTX 950M,Y,2,500,HDD,5400,Nil,4,Windows 10 Home 64,1,Black,N
Dell,Dell Inspiron 11 3000 Series (3162),349,11.6,1366,768,N,N,N,1.18,Intel,2,1.6,0,2,DDR3L,1600,Intel HD Graphics,N,0,32,EMMC,,Up to 4 GB DDR3L; Up to 500 GB HDD,9.5,Windows 10 Home 64,1,"Blue, Red, White",N
Dell,Dell Inspiron 13 7000 Series 2-in-1 (7348),949,13.3,1366,768,N,N,Y,1.67,Intel,2,2.2,2,4,DDR3L,1600,Intel HD Graphics 5500,N,0,500,HDD,5400,Nil,6,Windows 10 Home 64,1,Silver,N
Dell,Dell Inspiron 14 5000 Series - 5459 ,949,14,1366,768,N,N,N,2,Intel,2,2.3,2,4,DDR3L,1600,AMD RadeonÅ_ R5 M335 2GB DDR3,Y,0,500,HDD,5400,Up to 1 TB HDD;Up to AMD RadeonÅ_ R5 M335 4GB DDR3;,8,Windows 10 Home 64,1,"Red, White, Silver, Black",N
Dell,Dell Inspiron 15 7000 Series,1899,15.6,3840,2160,Y,Y,Y,2.72,Intel,4,2.6,5,8,DDR3L,1600,NVIDIA GeForce GTX 960M,Y,2,1024,HDD,5400,Up to 6th Gen IntelÅ’ CoreÅ_ i7,11,Windows 10 Home 64,1,Black,N
